,statuses_count,followers_count,friends_count,favourites_count,listed_count,default_profile,profile_sidebar_border_color,profile_background_tile,profile_sidebar_fill_color,description,dataset
78,2190,46,122,15,0,0.0,0,1.0,0,1,1
79,116,22,49,16,0,0.0,0,0.0,0,1,1
80,482,26,73,5,0,0.0,0,0.0,0,1,1
81,344,49,20,37,0,0.0,0,0.0,0,1,1
82,1805,258,191,4,14,0.0,0,0.0,1,1,1
83,748,85,460,80,1,0.0,0,1.0,0,1,1
84,34917,1161,194,2,28,1.0,1,0.0,1,1,1
85,3397,173,390,3,2,0.0,0,1.0,0,1,1
86,5561,587,295,4,9,0.0,0,1.0,0,1,1
87,3526,257,473,8,1,0.0,0,0.0,0,1,1
88,371,413,70,9,6,0.0,0,1.0,0,1,1
89,1361,149,463,289,2,0.0,0,1.0,0,1,1
90,887,280,502,13,1,0.0,0,0.0,0,1,1
91,3276,125,549,224,2,0.0,0,1.0,0,1,1
92,971,48,112,8,1,1.0,1,0.0,1,1,1
93,8173,231,433,413,3,0.0,0,0.0,0,1,1
94,728,120,406,16,1,0.0,0,1.0,0,1,1
95,350,46,115,240,1,0.0,0,0.0,1,1,1
96,9626,508,1153,3819,0,0.0,1,1.0,1,1,1
97,4736,414,1196,166,2,0.0,0,0.0,0,1,1
98,732,191,656,1,1,0.0,0,0.0,0,1,1
99,516,46,96,28,0,0.0,0,0.0,0,1,1
100,8635,1707,1376,3266,67,0.0,0,0.0,0,1,1
101,2935,184,302,1,5,0.0,0,0.0,0,1,1
102,1030,369,202,1,13,1.0,1,0.0,1,1,1
103,2035,209,168,216,2,0.0,0,0.0,0,1,1
104,3152,162,352,23,7,0.0,0,0.0,0,1,1
105,6131,488,366,1058,10,0.0,1,0.0,1,1,1
106,3902,290,347,918,12,1.0,1,0.0,1,1,1
107,4357,231,152,90,0,0.0,0,1.0,0,1,1
108,18810,685,688,12,29,0.0,0,0.0,0,1,1
109,3302,370,934,103,7,0.0,0,0.0,0,1,1
110,160,23,227,1,0,0.0,0,1.0,0,1,1
111,6002,272,336,0,15,0.0,0,1.0,0,1,1
112,1781,105,427,234,0,0.0,0,1.0,0,1,1
113,1184,75,138,0,0,0.0,0,1.0,0,1,1
114,13159,501,697,79,11,0.0,0,0.0,0,1,1
115,280,50,1273,8,1,0.0,0,0.0,1,1,1
116,5237,245,241,115,4,1.0,1,0.0,1,1,1
117,611,87,173,1,1,1.0,1,0.0,1,1,1
118,835,111,768,36,0,0.0,0,0.0,0,1,1
119,1187,44,136,19,1,0.0,0,0.0,0,1,1
120,2185,74,345,32,1,0.0,0,0.0,0,1,1
121,148,249,548,1,1,0.0,0,1.0,0,1,1
122,1073,89,237,53,1,0.0,0,1.0,1,1,1
123,127,23,152,1,0,0.0,0,0.0,0,1,1
124,1601,147,405,9,3,0.0,0,1.0,0,1,1
125,704,129,380,12,0,1.0,1,0.0,1,1,1
126,57,76,650,0,0,0.0,0,0.0,0,1,1
127,552,80,290,11,1,0.0,0,0.0,0,1,1
128,4862,116,160,98,2,0.0,0,0.0,0,1,1
129,1652,412,1974,4,3,0.0,0,0.0,0,1,1
130,1786,63,185,342,2,0.0,0,1.0,0,1,1
131,238,45,99,39,0,0.0,0,0.0,0,1,1
132,764,99,226,22,0,0.0,0,0.0,0,1,1
133,5745,641,1221,95,5,0.0,0,0.0,0,1,1
134,2703,170,635,4,0,0.0,0,1.0,0,1,1
135,2683,57,215,82,0,0.0,0,0.0,0,1,1
136,2064,238,590,26,5,0.0,0,1.0,0,1,1
137,709,116,112,124,2,0.0,0,1.0,0,1,1
138,2893,160,227,71,4,0.0,0,0.0,0,1,1
139,1425,83,70,616,1,0.0,0,0.0,0,1,1
140,246,333,1598,10,0,0.0,0,1.0,0,1,1
141,519,139,454,17,3,1.0,1,0.0,1,1,1
142,1876,120,146,112,0,0.0,1,0.0,1,1,1
143,13774,254,192,520,5,0.0,0,0.0,1,1,1
144,16195,5027,5530,6698,73,1.0,1,0.0,1,1,1
145,3885,2812,1988,966,45,0.0,0,0.0,1,1,1
146,9147,100,162,369,4,0.0,0,1.0,0,1,1
147,80,54,187,46,1,1.0,1,0.0,1,1,1
148,684,65,281,1,0,0.0,0,0.0,1,1,1
149,351,28,76,3,1,0.0,0,1.0,0,1,1
150,6351,98,75,127,4,1.0,1,0.0,1,1,1
151,9372,179,723,87,0,0.0,0,0.0,0,1,1
152,537,117,552,4,1,0.0,0,1.0,0,1,1
153,446,84,418,4,1,0.0,0,0.0,0,1,1
154,5999,258,770,14,2,0.0,0,1.0,0,1,1
155,11156,148,104,18,5,0.0,0,1.0,1,1,1
156,139,53,53,0,1,1.0,1,0.0,1,1,1
157,567,77,171,6,0,0.0,0,0.0,0,1,1
158,77,14,18,1,1,1.0,1,0.0,1,1,1
159,235,78,152,55,0,0.0,0,0.0,0,1,1
160,25575,1672,802,2329,52,0.0,0,0.0,0,1,1
161,120,62,183,27,0,0.0,0,1.0,0,1,1
162,1130,88,111,97,4,0.0,0,0.0,0,1,1
163,79876,473,299,203,16,0.0,0,1.0,0,1,1
164,613,46,105,46,0,0.0,0,0.0,0,1,1
165,4288,126,199,5,1,1.0,1,0.0,1,1,1
166,3896,369,250,20,10,1.0,1,0.0,1,1,1
167,44,4,12,1,1,1.0,1,0.0,1,1,1
168,2277,150,536,33,5,0.0,0,0.0,0,0,1
169,326,444,620,1524,1,0.0,0,1.0,0,1,1
170,3730,220,282,34,6,0.0,1,1.0,1,1,1
171,2060,100,164,19,0,0.0,0,1.0,0,1,1
172,787,63,161,43,1,1.0,1,0.0,1,1,1
173,640,77,227,13,1,0.0,0,0.0,1,1,1
174,2475,207,356,38,1,0.0,0,0.0,0,1,1
175,1334,94,338,97,0,0.0,0,1.0,0,1,1
176,1349,161,546,1609,5,0.0,0,1.0,0,1,1
177,1533,96,168,46,0,0.0,0,1.0,0,1,1
178,413,42,275,42,0,0.0,0,0.0,0,1,1
179,2185,64,262,173,0,0.0,0,0.0,0,1,1
180,8713,563,774,6688,11,0.0,0,1.0,0,1,1
181,650,95,139,2,0,1.0,1,0.0,1,1,1
182,2617,128,324,63,3,0.0,0,1.0,0,1,1
183,268,120,429,76,0,0.0,0,1.0,0,1,1
184,1110,179,2000,0,1,0.0,0,0.0,0,1,1
185,4707,1772,1771,23,8,0.0,0,0.0,0,1,1
186,1447,252,667,2,2,0.0,0,1.0,0,1,1
187,3020,516,443,225,3,0.0,0,0.0,0,1,1
188,302,56,156,12,4,0.0,0,0.0,0,1,1
189,1809,102,392,18,1,1.0,1,0.0,1,1,1
190,271,21,63,8,1,0.0,1,0.0,1,1,1
191,8890,189,283,176,2,1.0,1,0.0,1,1,1
192,13300,238,158,1905,5,0.0,0,1.0,0,1,1
193,6212,369,198,103,5,0.0,0,1.0,0,1,1
194,1570,243,761,388,9,0.0,0,1.0,0,1,1
195,1111,84,601,0,3,1.0,1,0.0,1,1,1
196,4812,575,860,30,18,0.0,0,0.0,0,1,1
197,34098,13890,12773,85,486,0.0,1,0.0,1,1,1
198,6273,588,868,16,9,0.0,0,1.0,0,1,1
199,183,17,78,3,1,0.0,0,0.0,0,1,1
200,8387,214,314,3049,11,0.0,0,0.0,0,1,1
201,1373,281,405,127,3,0.0,0,0.0,0,1,1
202,33,20,95,0,0,0.0,0,0.0,0,1,1
203,2636,54,100,0,0,0.0,0,1.0,0,1,1
204,3199,111,216,289,7,0.0,1,0.0,1,1,1
205,16037,635,320,86,16,0.0,0,0.0,0,1,1
206,5756,554,1853,32,10,0.0,0,0.0,0,1,1
207,4712,469,1988,98,5,0.0,0,1.0,0,1,1
208,1497,153,308,121,3,0.0,0,1.0,0,1,1
209,1959,289,364,56,1,0.0,0,1.0,0,1,1
210,7838,213,506,180,9,0.0,0,1.0,0,1,1
211,1476,125,187,0,0,1.0,1,0.0,1,1,1
212,5367,409,1159,27,25,0.0,0,1.0,0,1,1
213,1407,263,414,72,4,0.0,0,1.0,0,1,1
214,873,122,427,33,2,1.0,1,0.0,1,1,1
215,2396,46,68,154,0,0.0,0,0.0,0,0,1
216,1913,151,1172,171,0,0.0,0,1.0,0,1,1
217,96,23,60,1,0,0.0,0,0.0,0,1,1
218,540,116,220,45,1,1.0,1,0.0,1,1,1
219,21069,2221,1636,944,26,0.0,0,1.0,0,1,1
220,6256,517,34,264,3,0.0,1,1.0,1,1,1
221,4043,126,126,98,1,0.0,0,1.0,0,1,1
222,6213,245,153,0,11,0.0,0,1.0,0,1,1
223,4418,111,282,146,1,0.0,0,0.0,0,1,1
224,478,34,77,2,0,0.0,0,1.0,0,1,1
225,6631,292,611,66,3,0.0,0,0.0,0,1,1
226,93,18,186,28,0,0.0,0,0.0,0,1,1
227,802,44,63,29,0,0.0,0,0.0,0,1,1
228,315,44,138,9,0,1.0,1,0.0,1,1,1
229,831,75,217,519,0,0.0,0,1.0,1,1,1
230,277,35,139,0,1,0.0,0,1.0,0,1,1
231,4082,244,294,257,0,0.0,0,0.0,0,1,1
232,334,21,368,3,0,0.0,0,0.0,0,1,1
233,299,29,28,3,0,0.0,0,0.0,0,1,1
234,319,40,53,1,0,1.0,1,0.0,1,1,1
235,549,123,213,2,0,0.0,1,1.0,1,1,1
236,618,22,125,207,0,0.0,0,1.0,0,1,1
237,421,48,96,1,0,0.0,1,1.0,1,1,1
238,1205,233,40,29,1,0.0,0,0.0,0,1,1
239,1667,408372,194,4,744,0.0,0,0.0,0,1,1
240,9057,504,401,3891,9,0.0,0,1.0,1,1,1
241,294,30,96,4,0,0.0,0,0.0,0,1,1
242,294,42,81,13,0,0.0,0,1.0,0,1,1
243,508,479,261,0,17,0.0,0,0.0,1,1,1
244,4476,612,257,267,35,0.0,0,0.0,0,1,1
245,1132,131,193,4,1,1.0,1,0.0,1,1,1
246,364,74,182,4,1,1.0,1,0.0,1,1,1
247,1181,55,271,6,0,0.0,0,0.0,0,1,1
248,360,95,213,1,0,0.0,0,1.0,0,1,1
249,28,19,253,12,0,1.0,1,0.0,1,1,1
250,159,27,255,2,0,1.0,1,0.0,1,1,1
251,649,68,178,60,1,1.0,1,0.0,1,1,1
252,2264,169,1021,30,2,0.0,0,0.0,0,1,1
253,67,15,76,0,0,0.0,0,1.0,0,1,1
254,3833,111,216,0,1,0.0,0,1.0,0,1,1
255,76,30,96,8,0,0.0,0,1.0,0,1,1
256,495,34,68,5,0,1.0,1,0.0,1,1,1
257,2349,76,377,8,0,0.0,0,0.0,0,1,1
258,10619,11089,565,776,245,0.0,0,1.0,0,1,1
259,820,227,521,20,5,0.0,0,0.0,0,0,1
260,758,102,254,2,2,0.0,0,0.0,0,1,1
261,1065,144,543,156,0,1.0,1,0.0,1,1,1
262,380,65,186,1,0,0.0,0,0.0,0,1,1
263,9971,1271,619,10146,15,0.0,0,0.0,0,1,1
264,117,53,56,1,2,0.0,0,0.0,0,1,1
265,14467,1612,1581,431,10,0.0,0,0.0,0,1,1
266,1869,95,135,42,0,0.0,0,0.0,0,1,1
267,504,133,270,1,3,0.0,0,0.0,0,1,1
268,360,190,620,12,0,0.0,0,0.0,0,1,1
269,2620,357,826,17,1,0.0,0,1.0,0,1,1
270,3461,239,348,458,4,0.0,0,0.0,0,1,1
271,9966,115,454,60,10,0.0,0,0.0,0,1,1
272,2765,2698,261,56,159,0.0,0,0.0,0,1,1
273,24057,1076,840,69,36,1.0,1,0.0,1,1,1
274,30909,2818,3032,1981,87,0.0,1,0.0,1,1,1
275,2685,68,258,585,1,0.0,0,1.0,0,1,1
276,161,72,14,3,2,0.0,0,0.0,0,1,1
277,2656,95,174,224,3,0.0,0,1.0,0,1,1
278,16955,3286,2743,2,87,0.0,0,0.0,0,1,1
279,4067,777,1995,347,22,0.0,0,0.0,0,1,1
280,4190,140,190,46,0,0.0,0,0.0,0,1,1
281,14246,932,781,4047,30,0.0,0,0.0,0,1,1
282,594,44,91,0,0,0.0,0,0.0,0,1,1
283,360,81,182,78,0,0.0,0,1.0,1,1,1
284,707,27,59,1,1,1.0,1,0.0,1,1,1
285,444,125,452,16,4,0.0,0,0.0,0,1,1
286,15131,2107,1898,1170,28,0.0,0,0.0,0,1,1
287,5936,200,461,81,4,0.0,0,1.0,0,1,1
288,540,57,104,14,0,0.0,0,0.0,0,1,1
289,889,201,500,7,5,1.0,1,0.0,1,1,1
290,3980,625,268,267,8,1.0,1,0.0,1,1,1
291,5558,872,625,3146,7,0.0,0,0.0,0,1,1
292,1656,126,650,20,0,0.0,0,1.0,0,1,1
293,3139,237,487,32,7,0.0,0,0.0,0,1,1
294,5660,554,937,6,23,0.0,0,1.0,0,1,1
295,476,347,431,4,8,0.0,0,1.0,0,1,1
296,63,10,41,10,0,1.0,1,0.0,1,1,1
297,621,25,135,2,0,0.0,0,0.0,0,1,1
298,160,53,487,1,1,1.0,1,0.0,1,1,1
299,9410,577,776,448,7,0.0,0,1.0,0,1,1
300,777,87,305,0,2,1.0,1,0.0,1,1,1
301,10378,286,538,321,3,1.0,1,0.0,1,1,1
302,622,49,218,7,1,1.0,1,0.0,1,1,1
303,1550,235,533,5,3,1.0,1,0.0,1,1,1
304,6634,326,423,136,1,0.0,0,1.0,0,1,1
305,112,154,257,0,1,0.0,0,1.0,0,1,1
306,1671,86,80,50,2,0.0,0,1.0,0,1,1
307,887,547,1416,179,2,0.0,0,1.0,0,1,1
308,36944,582,437,702,10,0.0,0,0.0,0,1,1
309,200,43,203,2,2,0.0,0,0.0,1,1,1
310,104,63,295,0,1,0.0,0,0.0,0,1,1
311,101,22,29,3,0,1.0,1,0.0,1,1,1
312,1358,119,626,136,0,0.0,0,1.0,0,1,1
313,288,11,68,9,0,0.0,0,0.0,0,1,1
314,883,1047,1516,7,10,0.0,1,1.0,1,1,1
315,8662,172,115,31,1,0.0,0,1.0,1,1,1
316,1352,1403,1442,287,6,0.0,0,0.0,1,1,1
317,639,136,471,12,1,0.0,0,1.0,0,1,1
318,441,36,166,0,0,1.0,1,0.0,1,1,1
319,5369,300,102,28,3,1.0,1,0.0,1,1,1
320,30010,478,261,659,13,0.0,0,0.0,0,1,1
321,3366,78,215,6,0,0.0,0,1.0,0,1,1
322,1529,315,706,1409,1,0.0,0,1.0,0,1,1
323,2212,117,287,2,2,1.0,1,0.0,1,1,1
324,252,53,411,6,0,0.0,0,1.0,0,1,1
325,272,106,232,106,0,0.0,0,0.0,0,1,1
326,3088,221,561,723,0,0.0,0,0.0,0,1,1
327,629,61,179,236,1,0.0,0,0.0,0,1,1
328,3134,162,369,422,5,0.0,0,0.0,0,1,1
329,4145,3137,142,24,58,0.0,0,1.0,0,1,1
330,236,71,109,225,0,0.0,0,0.0,0,1,1
331,520,101,286,98,1,0.0,0,1.0,0,1,1
332,9824,195,117,102,8,0.0,0,0.0,0,1,1
333,493,300,310,3,6,1.0,1,0.0,1,1,1
334,6475,438,938,983,3,0.0,0,0.0,0,1,1
335,137,13,48,4,0,0.0,0,0.0,0,1,1
336,1257,160,243,259,1,0.0,0,0.0,0,1,1
337,5671,210,235,161,3,0.0,0,0.0,0,1,1
338,1149,45,85,19,0,0.0,0,0.0,1,1,1
339,4323,80,40,99,2,0.0,0,1.0,0,1,1
340,1063,88,228,35,1,0.0,0,0.0,0,1,1
341,106,74,334,0,0,0.0,0,0.0,0,1,1
342,1368,252,627,98,1,0.0,0,1.0,0,1,1
343,770,42,149,28,0,0.0,0,0.0,0,1,1
344,5755,201,165,3,0,0.0,0,1.0,0,1,1
345,3907,315,460,31,5,0.0,0,0.0,0,1,1
346,1465,61,158,38,2,0.0,0,0.0,1,1,1
347,3653,84,118,23,0,1.0,1,0.0,1,1,1
348,3569,127,290,4,3,0.0,0,1.0,0,1,1
349,8707,1053,448,400,30,0.0,0,0.0,0,1,1
350,1254,54,219,2,0,0.0,0,1.0,1,1,1
351,257,43,64,15,0,0.0,0,1.0,0,1,1
352,3204,120,253,4,0,0.0,0,1.0,0,1,1
353,1875,97,198,525,0,0.0,0,0.0,0,1,1
354,1287,22,105,4,0,1.0,1,0.0,1,1,1
355,6793,210,175,23,2,0.0,0,1.0,0,1,1
356,431,29,195,12,0,1.0,1,0.0,1,1,1
357,32223,4053,956,3025,54,0.0,0,0.0,0,1,1
358,107,89,81,4,0,1.0,1,0.0,1,1,1
359,8679,274,251,257,37,0.0,0,0.0,0,1,1
360,5707,281,259,2535,1,0.0,0,0.0,0,1,1
361,485,423,400,0,1,1.0,1,0.0,1,1,1
362,834,102,252,15,0,1.0,1,0.0,1,1,1
363,666,33,135,1,0,0.0,0,1.0,0,1,1
364,6812,163,445,253,2,0.0,0,0.0,0,1,1
365,1462,68,96,6,0,0.0,0,0.0,0,1,1
366,746,61,203,9,0,0.0,0,0.0,0,1,1
367,28833,329,588,61,11,0.0,0,1.0,1,1,1
368,1583,46,98,3756,2,1.0,1,0.0,1,1,1
369,572,133,209,37,0,0.0,0,0.0,0,1,1
370,2917,395,700,12,8,0.0,0,0.0,0,1,1
371,12381,297,215,259,3,0.0,1,1.0,0,1,1
372,5299,1218,554,13,18,0.0,0,0.0,0,1,1
373,2511,66,58,0,0,0.0,0,0.0,0,1,1
374,9,19,139,3,0,1.0,1,0.0,1,1,1
375,154,45,94,6,0,1.0,1,0.0,1,1,1
376,861,32,93,2,1,1.0,1,0.0,1,1,1
377,716,149,428,109,0,0.0,0,1.0,0,1,1
378,4428,1228,970,934,4,0.0,0,0.0,0,1,1
379,9115,464,410,3531,9,1.0,1,0.0,1,1,1
380,259,97,126,53,0,1.0,1,0.0,1,1,1
381,18470,1341,2002,4279,7,0.0,0,1.0,0,1,1
382,2493,275,549,8,0,0.0,0,1.0,0,1,1
383,1549,92,469,399,0,0.0,0,1.0,0,1,1
384,47918,3074,1686,434,42,0.0,0,1.0,0,1,1
385,280,117,184,4,1,0.0,0,1.0,0,1,1
386,12834,678,337,1903,12,1.0,1,0.0,1,1,1
387,1172,206,341,77,1,0.0,0,0.0,0,1,1
388,32448,1330,1609,834,23,1.0,1,0.0,1,1,1
389,144,58,194,67,0,0.0,0,1.0,0,1,1
390,4392,418,1020,6,1,0.0,0,1.0,0,1,1
391,3450,127,123,11,3,0.0,0,1.0,0,1,1
392,691,61,153,34,0,1.0,1,0.0,1,1,1
393,6554,411,560,637,10,0.0,0,1.0,0,1,1
394,1824,156,91,57,4,0.0,0,0.0,0,1,1
395,3110,128,178,63,2,0.0,0,0.0,0,1,1
396,922,174,383,67,0,0.0,0,1.0,0,1,1
397,15703,337,321,123,4,0.0,0,1.0,0,1,1
398,185,128,487,121,2,1.0,1,0.0,1,1,1
399,117,20,92,2,0,0.0,0,0.0,1,1,1
400,2630,44,133,16,1,1.0,1,0.0,1,1,1
401,3800,110,270,251,1,0.0,0,1.0,0,1,1
402,1535,56,158,96,1,0.0,0,0.0,0,1,1
403,363,35,236,11,0,0.0,0,0.0,0,1,1
404,3597,111,209,1,1,0.0,0,0.0,0,1,1
405,471,87,361,3,1,0.0,1,1.0,0,1,1
406,450,46,205,6,1,0.0,0,0.0,0,1,1
407,1359,1084,410,11,19,0.0,0,1.0,0,1,1
408,178,70,176,20,1,1.0,1,0.0,1,1,1
409,604,80,206,0,0,0.0,0,0.0,0,1,1
410,5811,1578,332,11,35,0.0,0,0.0,0,1,1
411,733,104,268,1,1,1.0,1,0.0,1,1,1
412,108,104,81,31,1,0.0,0,0.0,0,1,1
413,274,20,80,4,0,0.0,1,1.0,1,1,1
414,11114,737,1968,437,2,0.0,0,0.0,0,1,1
415,568,158,209,19,2,0.0,0,1.0,0,1,1
416,165,45,179,0,0,0.0,0,0.0,0,1,1
417,4837,222,338,5,0,0.0,0,0.0,1,1,1
418,5217,254,170,67,3,0.0,0,1.0,0,1,1
419,30,9,37,0,0,1.0,1,0.0,1,1,1
420,2894,80,145,10,1,0.0,1,1.0,1,1,1
421,4140,205,770,10,1,1.0,1,0.0,1,1,1
422,324,82,128,8,0,0.0,0,1.0,0,1,1
423,5315,219,383,186,3,0.0,0,1.0,0,1,1
424,593,193,879,16,0,1.0,1,0.0,1,1,1
425,18860,1377,693,646,50,0.0,0,0.0,0,1,1
426,1806,193,117,393,1,0.0,0,1.0,0,1,1
427,1096,45,289,84,0,0.0,0,1.0,1,1,1
428,759,286,1625,2,1,0.0,1,1.0,1,1,1
429,5311,1249,886,296,37,0.0,0,0.0,0,1,1
430,903,126,273,6,1,0.0,0,0.0,1,1,1
431,360,14,38,4,0,0.0,0,0.0,1,1,1
432,7227,786,834,2356,9,0.0,0,0.0,0,1,1
433,19620,1084,899,38,26,0.0,0,1.0,0,1,1
434,595,102,219,19,2,0.0,0,0.0,0,1,1
435,1215,105,547,14,0,0.0,0,0.0,0,1,1
436,634,430,546,5,3,1.0,1,0.0,1,1,1
437,2941,1230,1428,40,54,1.0,1,0.0,1,1,1
438,3784,336,787,173,3,0.0,0,0.0,0,1,1
439,185,12,66,4,0,1.0,1,0.0,1,1,1
440,288,42,148,21,3,0.0,0,1.0,0,1,1
441,440,58,256,1,1,0.0,0,0.0,0,1,1
442,1799,97,348,36,1,1.0,1,0.0,1,1,1
443,1200,4878,5335,2899,13,1.0,1,0.0,1,1,1
444,1336,152,193,355,0,0.0,0,1.0,1,1,1
445,648,95,89,59,3,1.0,1,0.0,1,1,1
446,225,77,178,219,1,0.0,0,1.0,0,1,1
447,276,87,171,40,1,0.0,0,0.0,0,1,1
448,892,37,660,1,0,1.0,1,0.0,1,1,1
449,4775,209,1163,8,2,0.0,0,1.0,0,1,1
450,446,111,528,15,0,0.0,0,0.0,0,1,1
451,1580,834,993,53,2,0.0,0,0.0,0,1,1
452,2541,143,276,231,3,0.0,0,0.0,0,1,1
453,205,41,175,3,0,0.0,0,0.0,0,1,1
454,982,75,290,89,0,0.0,0,0.0,0,1,1
455,630,86,185,1,2,0.0,0,0.0,0,1,1
456,512,99,163,25,0,0.0,0,0.0,0,1,1
457,6566,313,646,135,8,1.0,1,0.0,1,1,1
458,16432,1119,1529,2215,13,0.0,0,1.0,0,1,1
459,16490,260,350,1492,2,0.0,0,0.0,0,1,1
460,26,11,93,2,0,0.0,0,1.0,1,1,1
461,9317,161,195,2,3,0.0,0,0.0,0,1,1
462,891,68,267,5,1,0.0,0,0.0,0,1,1
463,1325,107,98,263,0,0.0,0,0.0,0,1,1
464,2186,193,320,24,1,0.0,0,0.0,0,1,1
465,1924,62,157,426,1,0.0,1,0.0,1,1,1
466,189,27,54,17,0,0.0,0,1.0,0,1,1
467,3316,378,662,3,4,0.0,0,1.0,0,1,1
468,10677,2436,1978,1204,10,0.0,0,1.0,0,1,1
469,1080,79,360,10,0,1.0,1,0.0,1,1,1
470,1828,129,340,15,0,1.0,1,0.0,1,1,1
471,798,29,105,3,0,0.0,0,0.0,0,1,1
472,642,68,122,190,0,0.0,0,0.0,0,1,1
473,2818,101,229,557,0,1.0,1,0.0,1,1,1
474,1260,105,230,25,1,0.0,0,0.0,0,1,1
475,4279,132,892,6,2,0.0,0,1.0,0,1,1
476,49,166,417,6,3,1.0,1,0.0,1,1,1
477,362,72,112,1,0,1.0,1,0.0,1,1,1
478,3427,396,962,13,5,1.0,1,0.0,1,1,1
